TimeStamp,CPU_Freq,Battery_temp,GPU_Load
9:06:45,633.6,37.9,0
9:06:48,633.6,37.9,0
9:06:50,633.6,37.9,0
9:06:52,633.6,36.9,0
9:06:55,633.6,36.9,0
9:06:57,633.6,36.9,0
9:06:59,633.6,36.9,0
9:07:02,633.6,36.9,0
9:07:04,633.6,36.9,0
9:07:06,633.6,36.3,0
9:07:08,633.6,36.3,0
9:07:11,633.6,36.3,0
9:07:13,633.6,36.3,0
9:07:15,633.6,35.9,0
9:07:18,633.6,35.9,0
9:07:20,633.6,35.9,0
9:07:22,633.6,35.9,0
9:07:25,633.6,35.9,0
9:07:27,633.6,35.9,0
9:07:29,633.6,35.9,0
9:07:32,633.6,35.9,0
9:07:34,633.6,35.9,0
9:07:36,633.6,35.9,0
9:07:38,633.6,35.9,0
9:07:41,633.6,34.9,0
9:07:43,633.6,34.9,0
9:07:45,633.6,34.9,0
9:07:48,633.6,34.9,0
9:07:50,633.6,34.9,0
9:07:52,633.6,34.9,0
9:07:55,633.6,34.9,0
9:07:57,633.6,34.9,0
9:07:59,633.6,34.9,0
9:08:02,633.6,34.9,0
9:08:04,633.6,34.9,0
9:08:06,633.6,34.2,0
9:08:08,633.6,34.2,0
9:08:11,633.6,33.9,0
9:08:13,633.6,33.9,0
9:08:15,633.6,33.9,0
9:08:18,633.6,33.9,0
9:08:20,633.6,33.9,0
9:08:22,633.6,33.9,0
9:08:25,633.6,33.9,0
9:08:27,633.6,33.9,0
9:08:29,633.6,33.9,0
9:08:31,633.6,33.9,0
9:08:34,633.6,33.9,0
9:08:36,633.6,33.9,0
9:08:38,633.6,33.9,0
9:08:41,633.6,33.9,0
9:08:43,633.6,33.9,0
9:08:45,633.6,32.9,0
9:08:48,633.6,32.9,0
9:08:50,633.6,32.9,0
9:08:52,633.6,32.9,0
9:08:55,633.6,32.9,0
9:08:57,633.6,32.9,0
9:08:59,633.6,32.9,0
9:09:02,633.6,32.9,0
9:09:04,633.6,32.9,0
9:09:06,633.6,32.5,0
9:09:09,633.6,32.5,0
9:09:11,633.6,32.5,0
9:09:13,633.6,32.5,0
9:09:16,633.6,32.5,0
9:09:18,633.6,32.5,0
9:09:20,633.6,32.5,0
9:09:23,633.6,32.5,0
9:09:25,633.6,31.9,0
9:09:27,633.6,31.9,0
9:09:29,633.6,31.9,0
9:09:32,633.6,31.9,0
9:09:34,633.6,31.9,0
9:09:36,633.6,31.9,0
9:09:39,633.6,31.9,0
9:09:41,633.6,31.9,0
9:09:43,633.6,31.9,0
9:09:46,633.6,31.9,0
9:09:48,633.6,31.9,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
11:58:06,633.6,34.1,7.21
11:58:08,633.6,33.9,0.0
11:58:10,2918.4,33.9,7.14
11:58:12,2918.4,33.9,8.14
11:58:14,633.6,33.9,8.14
11:58:16,633.6,33.9,0.0
11:58:19,633.6,33.9,0.0
